company,ipo,founding
ROYSTER,19750130,1901
VARCO,19750609,1908
COORS ADOLPH,19750610,1901
KEYSTONE FOODS CORP,19750715,1965
C. F. BRAUN,19750826,1909
BROOKS FASHION STORES,19750910,1923
"CHRISTENSEN, INC.",19750924,1944
KERR GLASS MANUFACTURI,19751021,1903
LIQUID AIR,19751028,1965
OCEANEERING INTERNATL,19751030,1965
COLONIAL GAS ENERGY,19751107,1929
CULLEN BANKERS,19751216,1965
SBE INC.,19760108,1961
BALDOR,19760115,1920
DICKEY-JOHN,19760115,1966
PATHCOM,19760121,1970
CHEMINEER,19760128,1952
MANUFACTURING DATA,19760211,1969
CRAY RESEARCH,19760317,1972
BURING FOOD GROUP,19760329,1945
MAYFLOWER,19760511,1955
ENTENMANNS,19760512,1958
GAP STORES,19760519,1969
NATCO,19760519,1911
STEWART & STEVENSON SE,19760603,1902
FOUR PHASE,19760608,1969
SHARED MEDICAL SYSTEMS,19760629,1969
DOCUMATION,19760708,1970
DATA TERMINAL,19760713,1970
VAPOR,19760722,1904
DYCO PETROLEUM,19760810,1971
AMDAHL,19760812,1970
ZONDERVAN,19760902,1954
ROLM,19760915,1969
KIMBALL,19760928,1901
TYRONE HYDRAULICS,19760928,1965
CHEFS INTERNATIONAL,19761029,1975
DATA RESOURCES INC,19761109,1968
BOKUM,19761215,1972
BEAR CREEK,19761216,1972
PCA INTERNATIONAL,19761216,1967
TETRA TECH,19770106,1966
FREMONT GENERAL,19770118,1961
OMEGA OPTICAL,19770125,1972
BROUGHAM INDUSTRIES,19770127,1969
CONTINUOS CURVE LENS,19770201,1960
ST JUDE MEDICAL,19770209,1976
JHIRMACK ENTERPRISES,19770324,1968
JENN-AIR,19770414,1953
TESDATA SYSTEMS,19770427,1972
AMERICAN CLIPPER,19770512,1973
HOP-IN FOOD STORES,19770616,1966
GEOSOURCE,19770621,1973
HARPER GROUP,19770622,1961
DELOREAN MOTOR CORPORA,19770629,1975
TPC COMMUNICATION,19770727,1970
UTILITY VERIFICATION,19770824,1977
TRI-AMERICAN CORPORATI,19770914,1961
NEW ENGLAND BUSINESS SERVICE,19771005,1955
CENTURY 21 REAL ESTATE,19771011,1971
PAIN CONTROL CENTERS,19771123,1976
JLG INDUSTRIES,19771214,1969
TANDEM COMPUTERS,19771214,1974
TELENET,19771221,1977
SUNTEC SYSTMS,19780411,1977
FEDERAL EXPRESS CORP,19780412,1971
EMPLOYEE BENEFITS,19780425,1969
GENRAD,19780608,1915
PARADYNE CORP,19780711,1969
MOUNTAIN HIGH,19780713,1972
CHERRY ELECTRICAL PROD,19780802,1953
CULLINANE,19780802,1968
RANDAL DATA SYSTEMS,19780821,1974
EVANS & SUTHERLAND,19780907,1968
